,product,started,closed,winner,price
156,PIX de 1.000,2022-01-10 08:00:00,2022-01-10 08:40:05,vagnerpirajá,"R$ 4,43"
157,Pacote 50 Lances,2022-01-10 06:00:00,2022-01-10 06:14:54,nando1808,"R$ 1,87"
158,Smart TV LED,2022-01-09 20:30:00,2022-01-10 06:03:14,email,"R$ 50,53"
159,Smart TV 75,2022-01-09 16:00:00,2022-01-10 03:31:54,@sallesmg45,"R$ 61,96"
160,IPhone 13 Pro,2022-01-09 10:00:00,2022-01-10 02:36:02,Pipo Zago,"R$ 104,98"
161,A Intel Core,2022-01-09 22:00:00,2022-01-10 00:48:28,JÔVA,"R$ 16,25"
162,Pacote 100 Lances,2022-01-09 23:00:00,2022-01-09 23:10:42,email,"R$ 1,42"
163,Patinete Elétrico Foston,2022-01-09 19:00:00,2022-01-09 21:55:18,KAIOBLACK,"R$ 19,07"
164,Pacote 100 Lances,2022-01-09 21:00:00,2022-01-09 21:41:47,Hjrocha,"R$ 4,99"
165,PIX de 200,2022-01-09 19:30:00,2022-01-09 20:11:54,Conrad Banda,"R$ 4,99"
166,Pacote 50 Lances,2022-01-09 18:00:00,2022-01-09 18:18:21,Alexandre Hibens,"R$ 2,97"
167,Cadeira Escritório Executiva,2022-01-09 11:00:00,2022-01-09 18:02:49,xandytimão,"R$ 46,25"
168,Refrigerador Brastemp Frost,2022-01-09 17:00:00,2022-01-09 17:18:19,email,"R$ 2,96"
169,Pacote 50 Lances,2022-01-09 15:00:00,2022-01-09 15:33:35,roniltonfarias,"R$ 4,74"
170,Bicicleta Aro 29,2022-01-09 14:00:00,2022-01-09 14:02:08,querlonnogueira,"R$ 0,66"
171,Drone Multilaser Eagle,2022-01-09 13:00:00,2022-01-09 13:32:56,sinira,"R$ 2,81"
172,Pacote 100 Lances,2022-01-09 12:00:00,2022-01-09 12:17:01,papudinhos,"R$ 1,81"
173,Caixa de Som,2022-01-09 07:00:00,2022-01-09 09:53:01,RiguettoGMR,"R$ 15,32"
174,Câmera Insta360 One,2022-01-09 08:00:00,2022-01-09 09:46:58,ugan_silva,"R$ 8,46"
175,Pacote 50 Lances,2022-01-09 09:00:00,2022-01-09 09:00:15,Chopin/22,"R$ 0,13"
176,Pacote 50 Lances,2022-01-09 06:00:00,2022-01-09 06:26:09,LUANROO,"R$ 3,10"
177,5 Digital Edition,2022-01-08 20:00:00,2022-01-09 05:27:24,EDU_VOGT,"R$ 53,13"
178,Pacote 100 Lances,2022-01-08 23:00:00,2022-01-08 23:04:26,Skidy,"R$ 1,04"
179,MacBook Air Intel,2022-01-08 22:00:00,2022-01-08 22:02:40,catenacci,"R$ 1,38"
180,Pacote 100 Lances,2022-01-08 21:00:00,2022-01-08 21:54:48,Hjrocha,"R$ 6,20"
181,Drone Multilaser Eagle,2022-01-08 20:30:00,2022-01-08 21:23:11,Mazzeto_Sjc,"R$ 5,56"
182,Climatizador de Ar,2022-01-08 19:30:00,2022-01-08 19:32:19,andressa_samorim,"R$ 0,64"
183,Chaise Hungria Trama,2022-01-08 13:00:00,2022-01-08 19:18:44,loriss,"R$ 35,00"
184,Patinete Elétrico Foston,2022-01-08 19:00:00,2022-01-08 19:14:05,keepcalm,"R$ 1,62"
185,Smart TV LED,2022-01-08 16:00:00,2022-01-08 18:36:56,Val_Duprat,"R$ 16,89"
186,GoPro HERO 9,2022-01-08 17:00:00,2022-01-08 18:22:22,R&amp;M_Lopes,"R$ 7,92"
187,Pacote 50 Lances,2022-01-08 18:00:00,2022-01-08 18:00:23,olericx,"R$ 0,24"
188,A Intel Core,2022-01-07 22:00:00,2022-01-08 15:50:10,Fábio Minnesota,"R$ 132,41"
189,Pacote 50 Lances,2022-01-08 15:00:00,2022-01-08 15:46:40,ronidsl,"R$ 3,98"
190,Cafeteira Dolce Gusto,2022-01-08 14:00:00,2022-01-08 14:24:14,btranjan,"R$ 2,59"
