,product,started,closed,winner,price
126,A Intel Core,2021-09-25 22:00:00,2021-09-26 09:02:09,Renatozacardi,"R$ 64,85"
127,Drone Multilaser Eagle,2021-09-26 08:00:00,2021-09-26 08:13:39,Jrmaverick13,"R$ 2,65"
128,Pacote 50 Lances,2021-09-26 06:00:00,2021-09-26 06:03:17,S.POLIO2,"R$ 1,52"
129,Patinete Elétrico Maj,2021-09-25 20:00:00,2021-09-26 00:40:54,bel chinaglia,"R$ 30,23"
130,Pacote 100 Lances,2021-09-25 23:00:00,2021-09-25 23:01:33,casabranca2021,"R$ 1,09"
131,Pacote 100 Lances,2021-09-25 21:00:00,2021-09-25 22:17:31,FernandaTrajano,"R$ 8,53"
132,Smart TV LED,2021-09-25 16:00:00,2021-09-25 21:33:37,Gabrielmmn13,"R$ 46,33"
133,Caixa de Som,2021-09-25 20:30:00,2021-09-25 20:39:36,demetriovieira10,"R$ 2,57"
134,Tablet How 7,2021-09-25 19:30:00,2021-09-25 20:16:34,Cruz-vencedor,"R$ 7,02"
135,Pacote 50 Lances,2021-09-25 18:00:00,2021-09-25 18:17:05,Danilalp,"R$ 3,19"
136,iPhone 12 Pro,2021-09-25 10:00:00,2021-09-25 17:34:46,RICAMIL,"R$ 65,63"
137,Notebook Dell Core,2021-09-25 17:00:00,2021-09-25 17:01:55,Edu_96,"R$ 4,50"
138,PIX de 200,2021-09-25 14:00:00,2021-09-25 16:17:36,afonsop,"R$ 22,37"
139,Pacote 50 Lances,2021-09-25 15:00:00,2021-09-25 15:11:34,FernandaTrajano,"R$ 2,50"
140,5 Digital Edition,2021-09-25 13:00:00,2021-09-25 14:21:18,Maccheri,"R$ 13,64"
141,Pacote 100 Lances,2021-09-25 12:00:00,2021-09-25 12:02:27,fabio aldair,"R$ 1,24"
142,Câmera Insta360 One,2021-09-25 11:00:00,2021-09-25 11:43:28,CLAUDIOZAGO33,"R$ 4,97"
143,Pacote 50 Lances,2021-09-25 09:00:00,2021-09-25 09:24:42,Josifermiano,"R$ 3,60"
144,Fone Bose Quietcomfort,2021-09-25 08:00:00,2021-09-25 08:43:52,email,"R$ 5,30"
145,Aspirador de P,2021-09-25 07:00:00,2021-09-25 07:39:22,email,"R$ 5,49"
146,Pacote 50 Lances,2021-09-25 06:00:00,2021-09-25 06:16:10,email,"R$ 2,52"
147,iPhone 12 Pro,2021-09-24 10:00:00,2021-09-25 05:57:12,silmonize,"R$ 200,76"
148,GoPro HERO 9,2021-09-24 08:00:00,2021-09-25 04:34:09,Cleiton_EUA,"R$ 144,14"
149,Smart TV 75,2021-09-24 16:00:00,2021-09-25 02:09:13,moises alagoas,"R$ 86,94"
150,MacBook Air Intel,2021-09-24 22:00:00,2021-09-25 01:38:04,Jocimas2,"R$ 30,10"
151,iPad Air 10,2021-09-24 20:30:00,2021-09-25 00:51:38,inovart,"R$ 31,23"
152,Pacote 100 Lances,2021-09-24 23:00:00,2021-09-24 23:24:04,Fogaça123,"R$ 3,45"
153,Pacote 100 Lances,2021-09-24 21:00:00,2021-09-24 21:39:30,FernandaTrajano,"R$ 5,98"
154,Patinete Elétrico Maj,2021-09-24 20:00:00,2021-09-24 20:47:38,cadinho90,"R$ 6,47"
155,Maquina De Gelo,2021-09-24 19:30:00,2021-09-24 20:07:37,Vagner5139,"R$ 4,79"
156,Drone Multilaser Eagle,2021-09-24 19:00:00,2021-09-24 19:08:29,T.A.K.A,"R$ 1,98"
157,Pacote 50 Lances,2021-09-24 18:00:00,2021-09-24 18:13:39,Elisvan92,"R$ 2,47"
158,PIX de 200,2021-09-24 14:00:00,2021-09-24 17:27:02,Kawauchi,"R$ 26,96"
159,Caixa de Som,2021-09-24 17:00:00,2021-09-24 17:22:10,gordinhovencedor,"R$ 4,27"
160,Esteira Ergométrica El,2021-09-24 07:00:00,2021-09-24 15:12:31,lup_lins,"R$ 52,86"
161,Pacote 50 Lances,2021-09-24 15:00:00,2021-09-24 15:08:54,FernandaTrajano,"R$ 2,00"
162,Bicicleta Aro 29,2021-09-24 13:00:00,2021-09-24 13:42:48,Jairo_Marsil,"R$ 6,74"
163,Pacote 100 Lances,2021-09-24 12:00:00,2021-09-24 12:54:29,Luizhlcdm,"R$ 8,81"
164,Apple Watch Series,2021-09-24 11:00:00,2021-09-24 11:23:24,PALITO,"R$ 2,92"
165,Pacote 50 Lances,2021-09-24 09:00:00,2021-09-24 09:06:53,Tereh,"R$ 0,89"
166,Pacote 50 Lances,2021-09-24 06:00:00,2021-09-24 06:03:35,email,"R$ 0,90"
167,A Intel Core,2021-09-23 22:00:00,2021-09-24 04:23:45,Alisson Marconi,"R$ 40,10"
168,PIX de 200,2021-09-23 14:00:00,2021-09-23 14:32:30,Arikelypsc,"R$ 5,69"
169,Pacote 100 Lances,2021-09-23 12:00:00,2021-09-23 13:17:28,EQUINOX-SRS,"R$ 9,75"
170,Patinete Elétrico Foston,2021-09-23 11:00:00,2021-09-23 11:03:55,tiagoshark1,"R$ 1,40"
171,Patinete Elétrico Maj,2021-09-22 16:00:00,2021-09-23 10:17:45,Grolli_Cesar,"R$ 108,32"
172,Pacote 50 Lances,2021-09-23 09:00:00,2021-09-23 09:16:21,Iasminsantos,"R$ 2,82"
173,GoPro HERO 9,2021-09-22 20:00:00,2021-09-23 08:39:02,henriquefrasson,"R$ 74,93"
174,PIX de 1.000,2021-09-23 07:00:00,2021-09-23 07:27:26,dexacomigo,"R$ 4,74"
175,Pacote 50 Lances,2021-09-23 06:00:00,2021-09-23 06:04:08,FernandaTrajano,"R$ 1,52"
176,f15 core i7,2021-09-21 19:00:00,2021-09-23 05:27:21,eu.quero.esse,"R$ 254,31"
177,Pacote 100 Lances,2021-09-22 23:00:00,2021-09-22 23:24:42,ianeflora,"R$ 4,66"
178,Drone Multilaser Eagle,2021-09-22 20:30:00,2021-09-22 22:52:58,EmersonSoriani,"R$ 14,90"
179,MacBook Air Intel,2021-09-22 22:00:00,2021-09-22 22:36:47,Leandro Gama 89,"R$ 5,36"
